DEPTO_HECHO,MUNICIPIO_HECHO,FECHA_HECHO,BARRIOS_HECHO,DESCRIPCION_CONDUCTA,MODALIDAD,CLASE_SITIO,ZONA,GENERO,PAIS_PERSONA,CARGO_PERSONA,EDAD,2020
ANTIOQUIA,MEDELLÍN (CT),02/06/2020 12:00:00 AM,MANILA C-14,ARTÍCULO 239. HURTO PERSONAS,COSQUILLEO,ESTACION DEL METRO,URBANA,MASCULINO,FRANCIA,TURISTA EXTRANJERO,65,1
ANTIOQUIA,MEDELLÍN (CT),02/16/2020 12:00:00 AM,BOLIVARIANA C-11,ARTÍCULO 239. HURTO PERSONAS,USO SUSTANCIAS TOXICAS / ESCOPOLAMINADO,"BARES, CANTINAS Y SIMILARES",URBANA,MASCULINO,COSTA RICA,TURISTA EXTRANJERO,35,1
ANTIOQUIA,MEDELLÍN (CT),02/28/2020 12:00:00 AM,CUARTA BRIGADA C-11,ARTÍCULO 239. HURTO PERSONAS,ATRACO,VIAS PUBLICAS,URBANA,MASCULINO,RUSIA,TURISTA EXTRANJERO,36,1
ANTIOQUIA,MEDELLÍN (CT),03/17/2020 12:00:00 AM,SAN GERMAN C-7,ARTÍCULO 239. HURTO PERSONAS,ATRACO,VIAS PUBLICAS,URBANA,MASCULINO,ESPAÑA,TURISTA EXTRANJERO,28,1
ANTIOQUIA,MEDELLÍN (CT),03/09/2020 12:00:00 AM,LORENA C-11,ARTÍCULO 239. HURTO RESIDENCIAS,USO SUSTANCIAS TOXICAS / ESCOPOLAMINADO,APARTAMENTO,URBANA,MASCULINO,REINO UNIDO,TURISTA EXTRANJERO,32,1
ANTIOQUIA,MEDELLÍN (CT),02/29/2020 12:00:00 AM,ESTADIO C-11,ARTÍCULO 239. HURTO RESIDENCIAS,LLAVE MAESTRA,APARTAMENTO,URBANA,MASCULINO,FRANCIA,TURISTA EXTRANJERO,33,1
ANTIOQUIA,MEDELLÍN (CT),08/06/2020 12:00:00 AM,SIMON BOLIVAR C-12,ARTÍCULO 239. HURTO RESIDENCIAS,ATRACO,APARTAMENTO,URBANA,MASCULINO,ISRAEL,TURISTA EXTRANJERO,59,1
ANTIOQUIA,MEDELLÍN (CT),02/13/2020 12:00:00 AM,LA FLORESTA C-12,ARTÍCULO 239. HURTO PERSONAS,FACTOR DE OPORTUNIDAD,"HOTELES, RESIDENCIAS, Y SIMILARES.",URBANA,FEMENINO,ALEMANIA,TURISTA EXTRANJERO,23,1
ANTIOQUIA,MEDELLÍN (CT),03/12/2020 12:00:00 AM,VDA. MEDIA LUNA PARTE ALTA STA. E.,ARTÍCULO 239. HURTO PERSONAS,ATRACO,ZONA SELVÁTICA,RURAL,MASCULINO,INGLATERRA,TURISTA EXTRANJERO,22,2
ANTIOQUIA,MEDELLÍN (CT),03/12/2020 12:00:00 AM,VDA. MEDIA LUNA PARTE ALTA STA. E.,ARTÍCULO 239. HURTO PERSONAS,ATRACO,ZONA SELVÁTICA,RURAL,MASCULINO,INGLATERRA,TURISTA EXTRANJERO,28,1
ANTIOQUIA,MEDELLÍN (CT),03/03/2020 12:00:00 AM,VDA. EL MAZO STA. E.,ARTÍCULO 239. HURTO PERSONAS,ATRACO,PARQUES,URBANA,MASCULINO,NUEVA ZELANDA,TURISTA EXTRANJERO,35,1
ANTIOQUIA,MEDELLÍN (CT),10/25/2020 12:00:00 AM,ASTORGA C-14,ARTÍCULO 168. SECUESTRO SIMPLE,COLECTIVO,"HOTELES, RESIDENCIAS, Y SIMILARES.",URBANA,FEMENINO,BELGICA,TURISTA EXTRANJERO,38,1
ANTIOQUIA,MEDELLÍN (CT),10/25/2020 12:00:00 AM,ASTORGA C-14,ARTÍCULO 239. HURTO PERSONAS,ATRACO,"HOTELES, RESIDENCIAS, Y SIMILARES.",URBANA,FEMENINO,BELGICA,TURISTA EXTRANJERO,38,1
ANTIOQUIA,MEDELLÍN (CT),05/26/2020 12:00:00 AM,LORENA C-11,ARTÍCULO 239. HURTO RESIDENCIAS,USO SUSTANCIAS TOXICAS / ESCOPOLAMINADO,APARTAMENTO,URBANA,MASCULINO,ESTADOS UNIDOS,TURISTA EXTRANJERO,38,1
ATLÁNTICO,BARRANQUILLA (CT),02/22/2020 12:00:00 AM,EL CASTILLO,ARTÍCULO 239. HURTO PERSONAS,COSQUILLEO,VIAS PUBLICAS,URBANA,MASCULINO,VENEZUELA,TURISTA EXTRANJERO,26,1
ATLÁNTICO,BARRANQUILLA (CT),02/22/2020 12:00:00 AM,EL CASTILLO,ARTÍCULO 239. HURTO PERSONAS,COSQUILLEO,VIAS PUBLICAS,URBANA,MASCULINO,VENEZUELA,TURISTA EXTRANJERO,27,2
ATLÁNTICO,BARRANQUILLA (CT),02/22/2020 12:00:00 AM,CENTRO,ARTÍCULO 239. HURTO PERSONAS,COSQUILLEO,VIAS PUBLICAS,URBANA,FEMENINO,VENEZUELA,TURISTA EXTRANJERO,43,1
ATLÁNTICO,BARRANQUILLA (CT),02/22/2020 12:00:00 AM,ABAJO,ARTÍCULO 239. HURTO PERSONAS,COSQUILLEO,VIAS PUBLICAS,URBANA,MASCULINO,VENEZUELA,TURISTA EXTRANJERO,37,1
ATLÁNTICO,JUAN DE ACOSTA,05/15/2020 12:00:00 AM,SANTA VERONICA,ARTÍCULO 239. HURTO PERSONAS,FACTOR DE OPORTUNIDAD,"HOTELES, RESIDENCIAS, Y SIMILARES.",URBANA,MASCULINO,POLONIA,TURISTA EXTRANJERO,61,1
